"","MGI.symbol","HGNC.symbol","pair"
"458","Dcaf5","DCAF5","DCAF5_Dcaf5"
"459","Dcaf6","DCAF6","DCAF6_Dcaf6"
"460","Dcaf7","DCAF7","DCAF7_Dcaf7"
"461","Dcakd","DCAKD","DCAKD_Dcakd"
"462","Dcbld2","DCBLD2","DCBLD2_Dcbld2"
"463","Dchs1","DCHS1","DCHS1_Dchs1"
"464","Dctd","DCTD","DCTD_Dctd"
"465","Dcun1d5","DCUN1D5","DCUN1D5_Dcun1d5"
"466","Dcxr","DCXR","DCXR_Dcxr"
"467","Ddb1","DDB1","DDB1_Ddb1"
"468","Ddr2","DDR2","DDR2_Ddr2"
"469","Ddx17","DDX17","DDX17_Ddx17"
"470","Ddx27","DDX27","DDX27_Ddx27"
"471","Ddx41","DDX41","DDX41_Ddx41"
"472","Ddx42","DDX42","DDX42_Ddx42"
"473","Ddx49","DDX49","DDX49_Ddx49"
"474","Ddx51","DDX51","DDX51_Ddx51"
"475","Ddx54","DDX54","DDX54_Ddx54"
"476","Dennd3","DENND3","DENND3_Dennd3"
"477","Dennd4b","DENND4B","DENND4B_Dennd4b"
"478","Dennd5b","DENND5B","DENND5B_Dennd5b"
"479","Dennd6a","DENND6A","DENND6A_Dennd6a"
"480","Desi2","DESI2","DESI2_Desi2"
"481","Det1","DET1","DET1_Det1"
"482","Dexi","DEXI","DEXI_Dexi"
"483","Dgke","DGKE","DGKE_Dgke"
"484","Dgkz","DGKZ","DGKZ_Dgkz"
"485","Dhcr24","DHCR24","DHCR24_Dhcr24"
"486","Dhrs13","DHRS13","DHRS13_Dhrs13"
"487","Dhrs7b","DHRS7B","DHRS7B_Dhrs7b"
"488","Dhx30","DHX30","DHX30_Dhx30"
"489","Dhx32","DHX32","DHX32_Dhx32"
"490","Dhx37","DHX37","DHX37_Dhx37"
"491","Diaph1","DIAPH1","DIAPH1_Diaph1"
"492","Dicer1","DICER1","DICER1_Dicer1"
"493","Dio2","DIO2","DIO2_Dio2"
"494","Diras1","DIRAS1","DIRAS1_Diras1"
"495","Dis3","DIS3","DIS3_Dis3"
"496","Dkc1","DKC1","DKC1_Dkc1"
"497","Dkk3","DKK3","DKK3_Dkk3"
